gene,uniprot_id,pdb_file
CCR8,P51685,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51685-F1-model_v6.pdb
MS4A15,Q8N5U1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N5U1-F1-model_v6.pdb
FCAMR,Q8WWV6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WWV6-F1-model_v6.pdb
UNC93A,Q86WB7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86WB7-F1-model_v6.pdb
TNFRSF9,Q07011,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q07011-F1-model_v6.pdb
ABCA12,Q86UK0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86UK0-F1-model_v6.pdb
SLCO1B3,Q9NPD5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPD5-F1-model_v6.pdb
CD1A,P06126,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06126-F1-model_v6.pdb
GPR87,Q9BY21,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BY21-F1-model_v6.pdb
LRRC15,Q8TF66,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TF66-F1-model_v6.pdb
CNTNAP2,Q9UHC6,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UHC6-F1-model_v6.pdb
CD1B,P29016,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P29016-F1-model_v6.pdb
CD3G,P09693,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P09693-F1-model_v6.pdb
TNFSF11,O14788,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14788-F1-model_v6.pdb
UGT8,Q16880,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16880-F1-model_v6.pdb
SIT1,Q9Y3P8,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y3P8-F1-model_v6.pdb
ALPP,P05187,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05187-F1-model_v6.pdb
